I10-C-2023-07-26__2020-07-03__09-40-43(1).JPG	0	
I10-C-2023-07-26__2020-07-03__09-40-44(2).JPG	0	
I10-C-2023-07-26__2020-07-03__09-40-45(3).JPG	0	
I10-C-2023-07-26__2020-09-16__14-18-25(2).JPG	1	
I10-C-2023-07-26__2020-09-16__14-18-25(3).JPG	1	
I10-C-2023-07-26__2020-09-16__14-36-11(1).JPG	1	
I10-C-2023-07-26__2020-09-16__14-36-12(2).JPG	1	
I10-C-2023-07-26__2020-09-16__14-36-12(3).JPG	0	
I10-C-2023-07-26__2020-09-16__14-39-44(1).JPG	1	
I10-C-2023-07-26__2020-09-16__14-39-45(2).JPG	1	
I10-C-2023-07-26__2020-09-16__14-39-46(3).JPG	1	
I10-C-2023-07-26__2020-09-16__15-04-16(1).JPG	1	
I10-C-2023-07-26__2020-09-16__15-04-17(2).JPG	1	
I10-C-2023-07-26__2020-09-16__15-04-17(3).JPG	1	
I10-C-2023-07-26__2020-09-17__08-42-45(1).JPG	1	
I10-C-2023-07-26__2020-09-17__08-42-46(2).JPG	1	
I10-C-2023-07-26__2020-09-17__08-42-47(3).JPG	1	
I10-C-2023-07-26__2020-09-17__10-44-56(1).JPG	0	
I10-C-2023-07-26__2020-09-17__10-44-57(2).JPG	1	
I10-C-2023-07-26__2020-09-17__10-44-58(3).JPG	1	
I10-C-2023-07-26__2020-09-17__11-00-20(1).JPG	1	
I10-C-2023-07-26__2020-09-17__11-00-21(2).JPG	0	
I10-C-2023-07-26__2020-09-17__11-00-22(3).JPG	1	
I10-C-2023-07-26__2020-09-17__11-44-39(1).JPG	1	
I10-C-2023-07-26__2020-09-17__11-44-40(2).JPG	0	
I10-C-2023-07-26__2020-09-17__11-44-41(3).JPG	0	
I10-C-2023-07-26__2020-09-17__12-00-01(1).JPG	1	
I10-C-2023-07-26__2020-09-17__12-00-02(2).JPG	1	
I10-C-2023-07-26__2020-09-17__12-00-03(3).JPG	1	
I10-C-2023-07-26__2020-09-17__12-16-16(1).JPG	1	
I10-C-2023-07-26__2020-09-17__12-16-17(2).JPG	0	
I10-C-2023-07-26__2020-09-17__12-16-18(3).JPG	1	
I10-C-2023-07-26__2020-09-17__13-05-25(1).JPG	1	
I10-C-2023-07-26__2020-09-17__13-05-26(2).JPG	1	
I10-C-2023-07-26__2020-09-17__13-05-27(3).JPG	1	
I10-C-2023-07-26__2020-09-17__13-20-56(1).JPG	1	
I10-C-2023-07-26__2020-09-17__13-20-57(2).JPG	1	
I10-C-2023-07-26__2020-09-17__13-20-58(3).JPG	1	
I10-C-2023-07-26__2020-09-17__14-16-25(1).JPG	1	
I10-C-2023-07-26__2020-09-17__14-16-26(2).JPG	1	
I10-C-2023-07-26__2020-09-17__14-16-26(3).JPG	1	
I10-C-2023-07-26__2020-09-17__14-30-40(1).JPG	1	
I10-C-2023-07-26__2020-09-17__14-30-41(2).JPG	1	
I10-C-2023-07-26__2020-09-17__14-30-42(3).JPG	1	
I10-C-2023-07-26__2020-09-18__10-16-05(1).JPG	1	
I10-C-2023-07-26__2020-09-18__10-16-06(2).JPG	0	
I10-C-2023-07-26__2020-09-18__10-16-07(3).JPG	1	
I10-C-2023-07-26__2020-09-18__11-56-47(1).JPG	1	
I10-C-2023-07-26__2020-09-18__11-56-48(2).JPG	1	
I10-C-2023-07-26__2020-09-18__11-56-49(3).JPG	1	
I10-C-2023-07-26__2020-09-18__12-20-36(1).JPG	0	
I10-C-2023-07-26__2020-09-18__12-20-37(2).JPG	1	
I10-C-2023-07-26__2020-09-18__12-20-37(3).JPG	1	
I10-C-2023-07-26__2020-09-18__13-00-46(1).JPG	1	
I10-C-2023-07-26__2020-09-18__13-00-47(2).JPG	1	
I10-C-2023-07-26__2020-09-18__13-00-48(3).JPG	1	
I10-C-2023-07-26__2020-09-18__15-34-27(1).JPG	0	
I10-C-2023-07-26__2020-09-18__15-34-28(2).JPG	1	
I10-C-2023-07-26__2020-09-18__15-34-28(3).JPG	1	
I10-C-2023-07-26__2020-09-19__09-25-03(1).JPG	1	
I10-C-2023-07-26__2020-09-19__09-25-04(2).JPG	0	
I10-C-2023-07-26__2020-09-19__09-25-05(3).JPG	1	
I10-C-2023-07-26__2020-09-19__09-33-12(1).JPG	1	
I10-C-2023-07-26__2020-09-19__09-33-13(2).JPG	1	
I10-C-2023-07-26__2020-09-19__09-33-14(3).JPG	1	
I10-C-2023-07-26__2020-09-19__09-42-03(1).JPG	0	
I10-C-2023-07-26__2020-09-19__09-42-04(2).JPG	0	
I10-C-2023-07-26__2020-09-19__09-42-05(3).JPG	1	
I10-C-2023-07-26__2020-09-19__09-45-51(1).JPG	1	
I10-C-2023-07-26__2020-09-19__09-45-52(2).JPG	0	
I10-C-2023-07-26__2020-09-19__09-45-53(3).JPG	1	
I10-C-2023-07-26__2020-09-19__10-00-51(1).JPG	1	
I10-C-2023-07-26__2020-09-19__10-00-52(2).JPG	1	
I10-C-2023-07-26__2020-09-19__10-00-53(3).JPG	1	
I10-C-2023-07-26__2020-09-19__10-05-29(1).JPG	1	
I10-C-2023-07-26__2020-09-19__10-05-30(2).JPG	1	
I10-C-2023-07-26__2020-09-19__10-05-31(3).JPG	1	
I10-C-2023-07-26__2020-09-19__10-12-47(1).JPG	1	
I10-C-2023-07-26__2020-09-19__10-12-48(2).JPG	1	
I10-C-2023-07-26__2020-09-19__10-12-49(3).JPG	1	
I10-C-2023-07-26__2020-09-19__10-15-55(1).JPG	1	
I10-C-2023-07-26__2020-09-19__10-15-56(2).JPG	1	
I10-C-2023-07-26__2020-09-19__10-15-57(3).JPG	1	
I10-C-2023-07-26__2020-09-19__10-21-57(1).JPG	1	
I10-C-2023-07-26__2020-09-19__10-21-58(2).JPG	1	
I10-C-2023-07-26__2020-09-19__10-21-59(3).JPG	1	
I10-C-2023-07-26__2020-09-19__10-36-52(1).JPG	1	
I10-C-2023-07-26__2020-09-19__10-36-53(2).JPG	1	
I10-C-2023-07-26__2020-09-19__10-36-54(3).JPG	1	
I10-C-2023-07-26__2020-09-19__10-48-45(1).JPG	1	
I10-C-2023-07-26__2020-09-19__10-48-46(2).JPG	1	
I10-C-2023-07-26__2020-09-19__10-48-47(3).JPG	1	
I10-C-2023-07-26__2020-09-19__10-53-57(1).JPG	1	
I10-C-2023-07-26__2020-09-19__10-53-58(2).JPG	1	
I10-C-2023-07-26__2020-09-19__10-53-59(3).JPG	1	
I10-C-2023-07-26__2020-09-19__11-00-48(1).JPG	1	
I10-C-2023-07-26__2020-09-19__11-00-49(2).JPG	1	
I10-C-2023-07-26__2020-09-19__11-00-49(3).JPG	1	
I10-C-2023-07-26__2020-09-19__11-25-32(1).JPG	1	
I10-C-2023-07-26__2020-09-19__11-25-33(2).JPG	1	
I10-C-2023-07-26__2020-09-19__11-25-34(3).JPG	0	
I10-C-2023-07-26__2020-09-19__11-26-55(1).JPG	1	
I10-C-2023-07-26__2020-09-19__11-26-56(2).JPG	0	
I10-C-2023-07-26__2020-09-19__11-26-57(3).JPG	1	
I10-C-2023-07-26__2020-09-19__11-35-20(1).JPG	1	
I10-C-2023-07-26__2020-09-19__11-35-21(2).JPG	1	
I10-C-2023-07-26__2020-09-19__11-35-22(3).JPG	1	
I10-C-2023-07-26__2020-09-19__12-01-53(1).JPG	1	
I10-C-2023-07-26__2020-09-19__12-01-54(2).JPG	1	
I10-C-2023-07-26__2020-09-19__12-01-55(3).JPG	1	
I10-C-2023-07-26__2020-09-19__12-03-53(1).JPG	0	
I10-C-2023-07-26__2020-09-19__12-03-54(2).JPG	1	
I10-C-2023-07-26__2020-09-19__12-03-55(3).JPG	1	
I10-C-2023-07-26__2020-09-19__12-12-24(1).JPG	1	
I10-C-2023-07-26__2020-09-19__12-12-25(2).JPG	1	
I10-C-2023-07-26__2020-09-19__12-12-26(3).JPG	1	
I10-C-2023-07-26__2020-09-19__12-26-09(1).JPG	1	
I10-C-2023-07-26__2020-09-19__12-26-10(2).JPG	1	
I10-C-2023-07-26__2020-09-19__12-26-11(3).JPG	0	
I10-C-2023-07-26__2020-09-19__12-48-25(1).JPG	1	
I10-C-2023-07-26__2020-09-19__12-48-26(2).JPG	1	
I10-C-2023-07-26__2020-09-19__12-48-27(3).JPG	1	
I10-C-2023-07-26__2020-09-19__12-54-24(1).JPG	1	
I10-C-2023-07-26__2020-09-19__12-54-24(2).JPG	1	
I10-C-2023-07-26__2020-09-19__12-54-25(3).JPG	1	
I10-C-2023-07-26__2020-09-19__12-59-39(1).JPG	1	
I10-C-2023-07-26__2020-09-19__12-59-40(2).JPG	1	
I10-C-2023-07-26__2020-09-19__12-59-41(3).JPG	1	
I10-C-2023-07-26__2020-09-19__13-19-15(1).JPG	1	
I10-C-2023-07-26__2020-09-19__13-19-16(2).JPG	1	
I10-C-2023-07-26__2020-09-19__13-19-17(3).JPG	1	
I10-C-2023-07-26__2020-09-19__13-29-51(1).JPG	1	
I10-C-2023-07-26__2020-09-19__13-29-52(2).JPG	1	
I10-C-2023-07-26__2020-09-19__13-29-53(3).JPG	1	
I10-C-2023-07-26__2020-09-19__14-00-39(1).JPG	1	
I10-C-2023-07-26__2020-09-19__14-00-40(2).JPG	1	
I10-C-2023-07-26__2020-09-19__14-00-41(3).JPG	1	
I10-C-2023-07-26__2020-09-19__14-18-10(1).JPG	1	
I10-C-2023-07-26__2020-09-19__14-18-11(2).JPG	1	
I10-C-2023-07-26__2020-09-19__14-18-11(3).JPG	1	
I10-C-2023-07-26__2020-09-20__10-43-08(1).JPG	1	
I10-C-2023-07-26__2020-09-20__10-43-09(2).JPG	1	
I10-C-2023-07-26__2020-09-20__10-43-10(3).JPG	1	
I10-C-2023-07-26__2020-09-20__10-54-32(1).JPG	0	
I10-C-2023-07-26__2020-09-20__10-54-33(2).JPG	1	
I10-C-2023-07-26__2020-09-20__10-54-34(3).JPG	1	
I10-C-2023-07-26__2020-09-20__10-57-20(1).JPG	1	
I10-C-2023-07-26__2020-09-20__10-57-21(2).JPG	1	
I10-C-2023-07-26__2020-09-20__10-57-22(3).JPG	1	
I10-C-2023-07-26__2020-09-20__11-06-10(1).JPG	1	
I10-C-2023-07-26__2020-09-20__11-06-11(2).JPG	0	
I10-C-2023-07-26__2020-09-20__11-06-12(3).JPG	0	
I10-C-2023-07-26__2020-09-20__11-11-58(1).JPG	1	
I10-C-2023-07-26__2020-09-20__11-11-59(2).JPG	0	
I10-C-2023-07-26__2020-09-20__11-12-00(1).JPG	1	
I10-C-2023-07-26__2020-09-20__11-31-44(1).JPG	0	
I10-C-2023-07-26__2020-09-20__11-31-45(2).JPG	0	
I10-C-2023-07-26__2020-09-20__11-31-46(3).JPG	0	
I10-C-2023-07-26__2020-09-20__12-03-37(1).JPG	1	
I10-C-2023-07-26__2020-09-20__12-03-38(2).JPG	1	
I10-C-2023-07-26__2020-09-20__12-03-39(3).JPG	1	
I10-C-2023-07-26__2020-09-20__12-55-45(1).JPG	1	
I10-C-2023-07-26__2020-09-20__12-55-46(2).JPG	0	
I10-C-2023-07-26__2020-09-20__12-55-47(3).JPG	1	
I10-C-2023-07-26__2020-09-20__13-10-30(1).JPG	1	
I10-C-2023-07-26__2020-09-20__13-10-31(2).JPG	1	
I10-C-2023-07-26__2020-09-20__13-10-32(3).JPG	1	
I10-C-2023-07-26__2020-09-20__13-50-51(1).JPG	1	
I10-C-2023-07-26__2020-09-20__13-50-52(2).JPG	1	
I10-C-2023-07-26__2020-09-20__13-50-53(3).JPG	1	
I10-C-2023-07-26__2020-09-20__13-55-48(1).JPG	1	
I10-C-2023-07-26__2020-09-20__13-55-49(2).JPG	1	
I10-C-2023-07-26__2020-09-20__13-55-50(3).JPG	1	
I10-C-2023-07-26__2020-09-21__07-34-56(1).JPG	1	
I10-C-2023-07-26__2020-09-21__07-34-57(2).JPG	1	
I10-C-2023-07-26__2020-09-21__07-34-58(3).JPG	1	
I10-C-2023-07-26__2020-09-21__08-09-16(1).JPG	1	
I10-C-2023-07-26__2020-09-21__08-09-17(2).JPG	1	
I10-C-2023-07-26__2020-09-21__08-09-18(3).JPG	1	
I10-C-2023-07-26__2020-09-21__09-08-50(1).JPG	0	
I10-C-2023-07-26__2020-09-21__09-08-51(2).JPG	1	
I10-C-2023-07-26__2020-09-21__09-08-52(3).JPG	1	
I10-C-2023-07-26__2020-09-21__09-13-48(1).JPG	1	
I10-C-2023-07-26__2020-09-21__09-13-49(2).JPG	1	
I10-C-2023-07-26__2020-09-21__09-13-50(3).JPG	1	
I10-C-2023-07-26__2020-09-21__09-53-41(1).JPG	1	
I10-C-2023-07-26__2020-09-21__09-53-42(2).JPG	1	
I10-C-2023-07-26__2020-09-21__09-53-43(3).JPG	1	
I10-C-2023-07-26__2020-09-21__10-14-03(1).JPG	1	
I10-C-2023-07-26__2020-09-21__10-14-04(2).JPG	1	
I10-C-2023-07-26__2020-09-21__10-14-05(3).JPG	1	
I10-C-2023-07-26__2020-09-21__10-51-09(1).JPG	1	
I10-C-2023-07-26__2020-09-21__10-51-10(2).JPG	1	
I10-C-2023-07-26__2020-09-21__10-51-11(3).JPG	1	
I10-C-2023-07-26__2020-09-21__10-57-46(1).JPG	1	
I10-C-2023-07-26__2020-09-21__10-57-47(2).JPG	0	
I10-C-2023-07-26__2020-09-21__10-57-48(3).JPG	1	
I10-C-2023-07-26__2020-09-21__11-02-41(1).JPG	1	
I10-C-2023-07-26__2020-09-21__11-02-42(2).JPG	0	
I10-C-2023-07-26__2020-09-21__11-02-43(3).JPG	0	
I10-C-2023-07-26__2020-09-21__11-11-20(1).JPG	1	
I10-C-2023-07-26__2020-09-21__11-11-20(2).JPG	1	
I10-C-2023-07-26__2020-09-21__11-11-21(3).JPG	1	
I10-C-2023-07-26__2020-09-21__11-22-39(1).JPG	1	
I10-C-2023-07-26__2020-09-21__11-22-40(2).JPG	1	
I10-C-2023-07-26__2020-09-21__11-22-41(3).JPG	1	
I10-C-2023-07-26__2020-09-21__12-14-35(1).JPG	1	
I10-C-2023-07-26__2020-09-21__12-14-36(2).JPG	1	
I10-C-2023-07-26__2020-09-21__12-14-37(3).JPG	1	
I10-C-2023-07-26__2020-09-21__12-22-56(1).JPG	1	
I10-C-2023-07-26__2020-09-21__12-22-57(2).JPG	1	
I10-C-2023-07-26__2020-09-21__12-22-58(3).JPG	1	
I10-C-2023-07-26__2020-09-21__12-42-31(1).JPG	1	
I10-C-2023-07-26__2020-09-21__12-42-32(2).JPG	1	
I10-C-2023-07-26__2020-09-21__12-42-33(3).JPG	1	
I10-C-2023-07-26__2020-09-21__12-48-29(1).JPG	1	
I10-C-2023-07-26__2020-09-21__12-48-30(2).JPG	1	
I10-C-2023-07-26__2020-09-21__12-48-31(3).JPG	1	
I10-C-2023-07-26__2020-09-21__13-31-02(1).JPG	1	
I10-C-2023-07-26__2020-09-21__13-31-03(2).JPG	1	
I10-C-2023-07-26__2020-09-21__13-31-04(3).JPG	1	
I10-C-2023-07-26__2020-09-21__13-34-12(1).JPG	1	
I10-C-2023-07-26__2020-09-21__13-34-13(2).JPG	0	
I10-C-2023-07-26__2020-09-21__13-34-14(3).JPG	1	
I10-C-2023-07-26__2020-09-21__13-35-16(1).JPG	1	
I10-C-2023-07-26__2020-09-21__13-35-17(2).JPG	1	
I10-C-2023-07-26__2020-09-21__13-35-17(3).JPG	1	
I10-C-2023-07-26__2020-09-21__14-00-06(1).JPG	1	
I10-C-2023-07-26__2020-09-21__14-00-07(2).JPG	1	
I10-C-2023-07-26__2020-09-21__14-00-08(3).JPG	1	
I10-C-2023-07-26__2020-09-22__08-06-31(1).JPG	1	
I10-C-2023-07-26__2020-09-22__08-06-32(2).JPG	1	
I10-C-2023-07-26__2020-09-22__08-06-33(3).JPG	1	
I10-C-2023-07-26__2020-09-22__08-13-40(1).JPG	1	
I10-C-2023-07-26__2020-09-22__08-13-41(2).JPG	1	
I10-C-2023-07-26__2020-09-22__08-13-42(3).JPG	1	
I10-C-2023-07-26__2020-09-22__08-48-34(1).JPG	1	
I10-C-2023-07-26__2020-09-22__08-48-35(2).JPG	0	
I10-C-2023-07-26__2020-09-22__08-48-36(3).JPG	1	
I10-C-2023-07-26__2020-09-22__09-08-57(1).JPG	1	
I10-C-2023-07-26__2020-09-22__09-08-58(2).JPG	1	
I10-C-2023-07-26__2020-09-22__09-08-59(3).JPG	1	
I10-C-2023-07-26__2020-09-22__09-10-13(1).JPG	1	
I10-C-2023-07-26__2020-09-22__09-10-14(2).JPG	1	
I10-C-2023-07-26__2020-09-22__09-10-15(3).JPG	0	
I10-C-2023-07-26__2020-09-22__09-14-02(1).JPG	1	
I10-C-2023-07-26__2020-09-22__09-14-03(2).JPG	1	
I10-C-2023-07-26__2020-09-22__09-14-04(3).JPG	1	
I10-C-2023-07-26__2020-09-22__09-30-52(1).JPG	1	
I10-C-2023-07-26__2020-09-22__09-30-53(2).JPG	1	
I10-C-2023-07-26__2020-09-22__09-30-54(3).JPG	1	
I10-C-2023-07-26__2020-09-22__09-45-07(1).JPG	1	
I10-C-2023-07-26__2020-09-22__09-45-08(2).JPG	1	
I10-C-2023-07-26__2020-09-22__09-45-09(3).JPG	1	
I10-C-2023-07-26__2020-09-22__09-46-05(1).JPG	1	
I10-C-2023-07-26__2020-09-22__09-46-06(2).JPG	0	
I10-C-2023-07-26__2020-09-22__09-46-06(3).JPG	1	
I10-C-2023-07-26__2020-09-22__09-58-47(1).JPG	1	
I10-C-2023-07-26__2020-09-22__09-58-48(2).JPG	1	
I10-C-2023-07-26__2020-09-22__09-58-49(3).JPG	1	
I10-C-2023-07-26__2020-09-22__10-01-20(1).JPG	1	
I10-C-2023-07-26__2020-09-22__10-01-21(2).JPG	0	
I10-C-2023-07-26__2020-09-22__10-01-22(3).JPG	1	
I10-C-2023-07-26__2020-09-22__10-03-41(1).JPG	1	
I10-C-2023-07-26__2020-09-22__10-03-42(2).JPG	1	
I10-C-2023-07-26__2020-09-22__10-03-43(3).JPG	1	
I10-C-2023-07-26__2020-09-22__10-05-00(1).JPG	1	
I10-C-2023-07-26__2020-09-22__10-05-01(2).JPG	1	
I10-C-2023-07-26__2020-09-22__10-05-02(3).JPG	1	
I10-C-2023-07-26__2020-09-22__10-11-41(1).JPG	1	
I10-C-2023-07-26__2020-09-22__10-11-42(2).JPG	1	
I10-C-2023-07-26__2020-09-22__10-11-43(3).JPG	1	
I10-C-2023-07-26__2020-09-22__10-49-22(1).JPG	1	
I10-C-2023-07-26__2020-09-22__10-49-23(2).JPG	1	
I10-C-2023-07-26__2020-09-22__10-49-24(3).JPG	1	
I10-C-2023-07-26__2020-09-22__10-52-32(1).JPG	1	
I10-C-2023-07-26__2020-09-22__10-52-33(2).JPG	1	
I10-C-2023-07-26__2020-09-22__10-52-34(3).JPG	1	
I10-C-2023-07-26__2020-09-22__11-16-05(1).JPG	1	
I10-C-2023-07-26__2020-09-22__11-16-06(2).JPG	1	
I10-C-2023-07-26__2020-09-22__11-16-07(3).JPG	1	
I10-C-2023-07-26__2020-09-22__11-22-09(1).JPG	1	
I10-C-2023-07-26__2020-09-22__11-22-10(2).JPG	1	
I10-C-2023-07-26__2020-09-22__11-22-11(3).JPG	1	
I10-C-2023-07-26__2020-09-22__11-27-39(1).JPG	1	
I10-C-2023-07-26__2020-09-22__11-27-40(2).JPG	1	
I10-C-2023-07-26__2020-09-22__11-27-41(3).JPG	1	
I10-C-2023-07-26__2020-09-22__11-30-56(1).JPG	1	
I10-C-2023-07-26__2020-09-22__11-30-57(2).JPG	1	
I10-C-2023-07-26__2020-09-22__11-30-57(3).JPG	1	
I10-C-2023-07-26__2020-09-22__11-39-25(1).JPG	1	
I10-C-2023-07-26__2020-09-22__11-39-26(2).JPG	1	
I10-C-2023-07-26__2020-09-22__11-39-27(3).JPG	1	
I10-C-2023-07-26__2020-09-22__12-13-10(1).JPG	1	
I10-C-2023-07-26__2020-09-22__12-13-11(2).JPG	1	
I10-C-2023-07-26__2020-09-22__12-13-12(3).JPG	1	
I10-C-2023-07-26__2020-09-22__12-27-30(1).JPG	1	
I10-C-2023-07-26__2020-09-22__12-27-31(2).JPG	1	
I10-C-2023-07-26__2020-09-22__12-27-32(3).JPG	1	
I10-C-2023-07-26__2020-09-22__13-06-49(1).JPG	1	
I10-C-2023-07-26__2020-09-22__13-06-50(2).JPG	1	
I10-C-2023-07-26__2020-09-22__13-06-51(3).JPG	1	
I10-C-2023-07-26__2020-09-22__13-11-38(1).JPG	1	
I10-C-2023-07-26__2020-09-22__13-11-39(2).JPG	1	
I10-C-2023-07-26__2020-09-22__13-11-40(3).JPG	1	
I10-C-2023-07-26__2020-09-22__13-13-48(1).JPG	1	
I10-C-2023-07-26__2020-09-22__13-13-49(2).JPG	1	
I10-C-2023-07-26__2020-09-22__13-13-50(3).JPG	1	
I10-C-2023-07-26__2020-09-22__13-18-48(1).JPG	1	
I10-C-2023-07-26__2020-09-22__13-18-49(2).JPG	1	
I10-C-2023-07-26__2020-09-22__13-18-50(3).JPG	1	
I10-C-2023-07-26__2020-09-22__13-32-41(1).JPG	1	
I10-C-2023-07-26__2020-09-22__13-32-42(2).JPG	1	
I10-C-2023-07-26__2020-09-22__13-32-43(3).JPG	1	
I10-C-2023-07-26__2020-09-22__13-51-10(1).JPG	1	
I10-C-2023-07-26__2020-09-22__13-51-11(2).JPG	1	
I10-C-2023-07-26__2020-09-22__13-51-12(3).JPG	1	
I10-C-2023-07-26__2020-09-22__14-04-21(1).JPG	1	
I10-C-2023-07-26__2020-09-22__14-04-22(2).JPG	1	
I10-C-2023-07-26__2020-09-22__14-04-23(3).JPG	1	
I10-C-2023-07-26__2020-09-22__14-07-33(1).JPG	1	
I10-C-2023-07-26__2020-09-22__14-07-34(2).JPG	1	
I10-C-2023-07-26__2020-09-22__14-07-35(3).JPG	1	
I10-C-2023-07-26__2020-09-22__14-49-00(1).JPG	1	
I10-C-2023-07-26__2020-09-22__14-49-01(2).JPG	1	
I10-C-2023-07-26__2020-09-22__14-49-02(3).JPG	1	
I10-C-2023-07-26__2020-09-23__13-03-53(1).JPG	1	
I10-C-2023-07-26__2020-09-23__13-03-54(2).JPG	1	
I10-C-2023-07-26__2020-09-23__13-03-55(3).JPG	1	
I10-C-2023-07-26__2020-09-23__13-47-28(1).JPG	1	
I10-C-2023-07-26__2020-09-23__13-47-29(2).JPG	1	
I10-C-2023-07-26__2020-09-23__13-47-30(3).JPG	0	
I10-C-2023-07-26__2020-09-23__14-00-38(1).JPG	1	
I10-C-2023-07-26__2020-09-23__14-00-39(2).JPG	1	
I10-C-2023-07-26__2020-09-23__14-00-40(3).JPG	1	
I10-C-2023-07-26__2020-09-23__14-02-00(1).JPG	1	
I10-C-2023-07-26__2020-09-23__14-02-01(2).JPG	1	
I10-C-2023-07-26__2020-09-23__14-02-02(3).JPG	1	
I10-C-2023-07-26__2020-09-23__16-59-07(1).JPG	1: bushpig	0	
I10-C-2023-07-26__2020-09-23__16-59-08(2).JPG	2: bushpig	0	
I10-C-2023-07-26__2020-09-23__16-59-09(3).JPG	2: bushpig	0	
I10-C-2023-07-26__2020-09-24__09-47-00(1).JPG	1	
I10-C-2023-07-26__2020-09-24__09-47-01(2).JPG	1	
I10-C-2023-07-26__2020-09-24__09-47-02(3).JPG	1	
I10-C-2023-07-26__2020-09-24__14-30-43(1).JPG	1	
I10-C-2023-07-26__2020-09-24__14-30-44(2).JPG	1	
I10-C-2023-07-26__2020-09-24__14-30-45(3).JPG	1	
I10-C-2023-07-26__2020-09-25__09-39-59(1).JPG	1	
I10-C-2023-07-26__2020-09-25__09-40-00(1).JPG	1	
I10-C-2023-07-26__2020-09-25__09-40-01(2).JPG	1	
I10-C-2023-07-26__2020-09-25__09-42-27(1).JPG	1	
I10-C-2023-07-26__2020-09-25__09-42-28(2).JPG	1	
I10-C-2023-07-26__2020-09-25__09-42-29(3).JPG	1	
I10-C-2023-07-26__2020-09-25__09-51-01(1).JPG	1	
I10-C-2023-07-26__2020-09-25__09-51-02(2).JPG	1	
I10-C-2023-07-26__2020-09-25__09-51-03(3).JPG	1	
I10-C-2023-07-26__2020-09-25__09-58-00(1).JPG	1	
I10-C-2023-07-26__2020-09-25__09-58-01(2).JPG	1	
I10-C-2023-07-26__2020-09-25__09-58-02(3).JPG	1	
I10-C-2023-07-26__2020-09-25__10-04-41(1).JPG	1	
I10-C-2023-07-26__2020-09-25__10-04-42(2).JPG	1	
I10-C-2023-07-26__2020-09-25__10-04-43(3).JPG	1	
I10-C-2023-07-26__2020-09-25__10-10-44(1).JPG	1	
I10-C-2023-07-26__2020-09-25__10-10-45(2).JPG	1	
I10-C-2023-07-26__2020-09-25__10-10-46(3).JPG	1	
I10-C-2023-07-26__2020-09-25__10-18-58(1).JPG	1	
I10-C-2023-07-26__2020-09-25__10-18-59(2).JPG	1	
I10-C-2023-07-26__2020-09-25__10-19-00(1).JPG	1	
I10-C-2023-07-26__2020-09-25__10-28-54(1).JPG	1	
I10-C-2023-07-26__2020-09-25__10-28-55(2).JPG	1	
I10-C-2023-07-26__2020-09-25__10-28-55(3).JPG	1	
I10-C-2023-07-26__2020-09-25__10-42-43(1).JPG	1	
I10-C-2023-07-26__2020-09-25__10-42-44(2).JPG	1	
I10-C-2023-07-26__2020-09-25__10-42-44(3).JPG	0	
I10-C-2023-07-26__2020-09-25__10-45-29(1).JPG	1	
I10-C-2023-07-26__2020-09-25__10-45-30(2).JPG	1	
I10-C-2023-07-26__2020-09-25__10-45-31(3).JPG	1	
I10-C-2023-07-26__2020-09-25__11-10-02(1).JPG	1	
I10-C-2023-07-26__2020-09-25__11-10-03(2).JPG	1	
I10-C-2023-07-26__2020-09-25__11-10-04(3).JPG	1	
I10-C-2023-07-26__2020-09-25__11-12-37(1).JPG	1	
I10-C-2023-07-26__2020-09-25__11-12-38(2).JPG	1	
I10-C-2023-07-26__2020-09-25__11-12-39(3).JPG	1	
I10-C-2023-07-26__2020-09-25__11-14-10(1).JPG	1	
I10-C-2023-07-26__2020-09-25__11-14-11(2).JPG	1	
I10-C-2023-07-26__2020-09-25__11-14-12(3).JPG	1	
I10-C-2023-07-26__2020-09-25__11-15-18(1).JPG	1	
I10-C-2023-07-26__2020-09-25__11-15-19(2).JPG	1	
I10-C-2023-07-26__2020-09-25__11-15-20(3).JPG	1	
I10-C-2023-07-26__2020-09-25__11-59-14(1).JPG	1	
I10-C-2023-07-26__2020-09-25__11-59-15(2).JPG	1	
I10-C-2023-07-26__2020-09-25__11-59-16(3).JPG	1	
I10-C-2023-07-26__2020-09-25__12-18-00(1).JPG	1	
I10-C-2023-07-26__2020-09-25__12-18-01(2).JPG	1	
I10-C-2023-07-26__2020-09-25__12-18-02(3).JPG	1	
I10-C-2023-07-26__2020-09-25__12-19-48(1).JPG	1	
I10-C-2023-07-26__2020-09-25__12-19-49(2).JPG	1	
I10-C-2023-07-26__2020-09-25__12-19-50(3).JPG	1	
I10-C-2023-07-26__2020-09-25__12-26-45(1).JPG	1	
I10-C-2023-07-26__2020-09-25__12-26-46(2).JPG	1	
I10-C-2023-07-26__2020-09-25__12-26-47(3).JPG	1	
I10-C-2023-07-26__2020-09-25__12-32-09(1).JPG	1	
I10-C-2023-07-26__2020-09-25__12-32-10(2).JPG	0	
I10-C-2023-07-26__2020-09-25__12-32-10(3).JPG	1	
I10-C-2023-07-26__2020-09-25__12-42-19(1).JPG	1	
I10-C-2023-07-26__2020-09-25__12-42-20(2).JPG	1	
I10-C-2023-07-26__2020-09-25__12-42-21(3).JPG	1	
I10-C-2023-07-26__2020-09-25__12-45-29(1).JPG	1	
I10-C-2023-07-26__2020-09-25__12-45-30(2).JPG	1	
I10-C-2023-07-26__2020-09-25__12-45-31(3).JPG	1	
I10-C-2023-07-26__2020-09-25__12-48-06(1).JPG	1	
